peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL
,,,,Comcast ,,,,701 Congressional Blvd.,,,,Carmel,46032,IN,USA,,,,,,,,
,,,,Comcast ,,,,731 West Henry Street,,,,Indianapolis,46225,IN,USA,,,,,,,,
,,,,Comcast ,,,,100 Delawanna Avenue,,,,Clifton,7014,NJ,USA,,,,,,,,
,,,,Comcast ,,,,6340 South 3000 East,,,,Salt Lake City,84121,UT,USA,,,,,,,,
,,,,Comcast ,,,,800/810 Jorie Blvd.,Suite 120,,,Oak Brook,60523,IL,USA,,,,,,,,
,,,,Comcast ,,,,11155 Red Run Blvd.,,,,Owings Mills,21117,MD,USA,,,,,,,,
,,,,Comcast ,,,,21571 Beaumeade Circle,,,,Ashburn,20147,VA,USA,,,,,,,,
,,,,Comcast ,,,,1601 Trapelo Rd. Ste 397,,,,Waltham,2451,MA,USA,,,,,,,,
,,,,Comcast ,,,,265 Winter Street,,,,Waltham,2451,MA,USA,,,,,,,,
,,,,Comcast ,,,,56 Roland Street,2nd Floor,,,Boston,2129,MA,USA,,,,,,,,
,,,,Comcast ,,,,14 Resilient Circle,,,,Brunswick,4011,ME,USA,,,,,,,,
,,,,Comcast ,,,,300 Steel Road,,,,Morrisville,19067,PA,USA,,,,,,,,
,,,,Comcast ,,,,282 Corliss Street,,,,Pittsburgh,15220,PA,USA,,,,,,,,
,,,,Comcast ,,,,804 Academy Heights Ave,,,,Ephrata,,PA,USA,,,,,,,,
,,,,Comcast ,,,,10980 Gold Center Drive,,,,Rancho Cordova,95670,CA,USA,,,,,,,,
,,,,Comcast ,,,,1625 W National Drive,,,,Sacramento,,CA,USA,,,,,,,,
,,,,Comcast ,,,,1639 Princeton Ave,,,,Modesto,,CA,USA,,,,,,,,
,,,,Comcast ,,,,624 South Grand Avenue,Suite 110,,,Los Angeles,90017,CA,USA,,,,,,,,
,,,,Comcast ,,,,8535 Highfield Parkway,,,,Englewood,,CO,USA,,,,,,,,
,,,,Comcast ,,,,3500 Lyman Blvd,,,,Chaska,,MN,USA,,,,,,,,
,,,,Comcast ,,,,21005 Lahser Rd.,,,,Southfield,48033,MI,USA,,,,,,,,
,,,,Comcast ,,,,3105 & 3205 Alfred St,,,,Santa Clara,95054,CA,USA,,,,,,,,
,,,,Comcast ,,,,5350 S Valentia Way Bldg #2,,,,Greenwood Village,80111,CO,USA,,,,,,,,
,,,,Comcast ,,,,5222 33rd Street,,,,Grand Rapids,49512,MI,USA,,,,,,,,
,,,,Comcast ,,,,75 West Watkins Mill Road,,,,Gaithersburg,20878-4021,MD,USA,,,,,,,,
,,,,Comcast ,,,,500 Rutherford Avenue,,,,Boston,2129,MA,USA,,,,,,,,
,,,,Comcast ,,,,471 Jplwick Drive,,,,Harrisburg,17111,PA,USA,,,,,,,,
,,,,Comcast ,,,,27 Miller Street,,,,Lemoyne,17043,PA,USA,,,,,,,,
,,,,Comcast ,,,,810 Parish Street,,,,Pittsburgh,15220,PA,USA,,,,,,,,
,,,,Comcast ,,,,311 Rockrimmon Boulevard,,,,Colorado Springs,80919,CO,USA,,,,,,,,
,,,,Comcast ,,,,3311 South 120th Place,,,,Tukwila,98168,WA,USA,,,,,,,,
,,,,Comcast ,,,,140 S. Dearborn St. Suite 200,Suite 220,,,Chicago,60603,IL,USA,,,,,,,,
,,,,Comcast ,,,,2368 Corporate Lane,,,,Naperville,60563,IL,USA,,,,,,,,
,,,,Comcast ,,,,603 Discovery Drive,,,,West Chicago,60185,IL,USA,,,,,,,,
,,,,Comcast ,,,,9333 W Grand Avenue Suite 120,,,,Franklin Park,60131,IL,USA,,,,,,,,
,,,,Comcast ,,,,165 Kirts Boulevard,#400,,,Troy,48084,MI,USA,,,,,,,,
,,,,Comcast ,,,,24245 Northwestern Hwy,,,,Southfield,48075,MI,USA,,,,,,,,
,,,,Comcast ,,,,1430 Joh Ave.,,,,Halethorpe,21227,MD,USA,,,,,,,,
,,,,Comcast ,,,,175 Admiral Cochrane Drive,,,,Annapolis,21401,MD,USA,,,,,,,,
,,,,Comcast ,,,,1755/1757 Old Meadow Road,,,,McLean,22102,VA,USA,,,,,,,,
,,,,Comcast ,,,,1921 Gallows Road,,,,Vienna,22182,VA,USA,,,,,,,,
,,,,Comcast ,,,,22451 Shaw Road,,,,Sterling,20166,VA,USA,,,,,,,,
,,,,Comcast ,,,,800 Cottontail Lane,,,,Somerset,8873,NJ,USA,,,,,,,,
