peering DB id,PP Count,IX Count,Inflect IDs,Data Center Owner,Marketing Name,name,DC Code,address1,address2,campus,notes,city,zipcode,state,country,npanxx,peeringDB owner_id,clli,Future Planned DC,rencode,Retired DC,Not Found,Data Source URL,Colo Provider,Colo provider DC code,Optical Transport,IP and EtherCloud,Video
,,,,GTT,,,,Dtu Building 304,,,,Lyngby,2800,,Denmark,,,,,,,,,Technical University of Denmark,,,x,
,,,,GTT,,,,HíŸrskí_tten 3-5,"Hall 2, Taastrup",,,Copenhagen,2630,,Denmark,,,,,,,,,GlobalConnect,,,x,x
,,,,GTT,,,,Industriparken 20,,,,Ballerup,2750,,Denmark,,,,,,,,,InterXion CPH1,,,ICB*,x
,,,,GTT,,,,Metrovej,2300 KíŸbenhavn S,,,Copenhagen,,,Denmark,,,,,,,,,TSIC POP1,,,ICB*,x
,,,,GTT,,,,Ejby Industrivej 135,,,,Glostrup,2600,,Denmark,,,,,,,,,TeliaSonera Data Center #3,,,,x
,,,,GTT,,,,Fr. R. Kreutzwaldi,,,,Tallinn,,,Estonia,,,,,,,,,Elion ,,,,x
,,,,GTT,,,,Iso Roobertinkatu 21,,,,Helsinki,120,,Finland,,,,,,,,,TSIC POP 1,,,,x
,,,,GTT,,,,Kansakoulukuja 3,,,,Helsinki,101,,Finland,,,,,,,,,TSIC POP 2,,,,x
,,,,GTT,,,,Uutiskatu 5,,,,Helsinki,240,,Finland,,,,,,,,,Digita Networks Oy,,,,x
,,,,GTT,,,,40 Avenue Roger Salengro,,,,Marseille,13003,,France,,,,,,,,,InterXion,MRS 1,,x,
,,,,GTT,,,,114 Rue Ambroise Croizat,,,,Paris,93200,,France,,,,,,,,,Equinix,PA3,,x,
,,,,GTT,,,,124 Boulevard De Verdun,,,,Courbevoie,92400,,France,,,,,,,,,SFR Group,,,x,x
,,,,GTT,,,,137 Boulevard Voltaire,,,,Paris,75011,,France,,,,,,,,,Telehouse 2 (Paris Voltaire),,x,x,x
,,,,GTT,,,,20 Rue Des Gardinoux,,,,Aubervilliers,93534,,France,,,,,,,,,InterXion,PAR2,,x,
,,,,GTT,,,,22 Avenue des Nations,,,,Villepinte,93420,,France,,,,,,,,,TeliaSonera Paris DataCenter #2,,,,x
,,,,GTT,,,,38 Rue des Jeuneurs,,,,Paris,75002,,France,,,,,,,,,Telehouse 1 (Paris Jeuneurs),,,x,
,,,,GTT,,,,45 Avenue Victor Hugo,,,,Aubervilliers,93300,,France,,,,,,,,,InterXion,PAR1,,x,
,,,,GTT,,,,61 Rue Julian Grimau,Vitry-sur-Seine,,,Paris,75008,,France,,,,,,,,,Iliad Datacentre,,,x,
,,,,GTT,,,,9 Energy Park 130-136 Blvd de Verdun,Courbevoi cedex,,,Paris,92413,,France,,,,,,,,,TelecityGroup Paris (Courbevoie Cedex),,,x,
,,,,GTT,,,,E.M.G.P. Bat. 2545 Avenue Victor Hugo,,,,Aubervilliers,93534,,France,,,,,,,,,TelecityGroup Paris (Aubervilliers),,,x,
,,,,GTT,,,,5 Rue du Havre,,,,Strasbourg,67100,,France,,,,,,,,,euNetworks,,x,,
,,,,GTT,,,,Alboinstrasse 36,,,,Berlin,12103,,Germany,,,,,,,,,Speedbone,,,ICB*,
,,,,GTT,,,,In der Steele 29,,,,Dí_sseldorf,40599,,Germany,,,,,,,,,InterXion,DUS1,x,,
,,,,GTT,,,,In der Steele 35,,,,Dí_sseldorf,40599,,Germany,,,,,,,,,euNetworks,,x,,
,,,,GTT,,,,25-31 Rebstockerstrasse,,,,Frankfurt,60314,,Germany,,,,,,,,,Itenos,,,x,
,,,,GTT,,,,Friesstrasse 26,,,,Frankfurt,60388,,Germany,,,,,,,,,Equinix,FR2,x, ,
,,,,GTT,,,,Gutleutstrasse 310,,,,Frankfurt,60327,,Germany,,,,,,,,,TelecityGroup Frankfurt (Gutleutstrasse),,,x,
,,,,GTT,,,,Hanauer Landstrasse 302,,,,Frankfurt,60314,,Germany,,,,,,,,,InterXion,FRA1,x,x,
